Lat;Long;Name;Locality;Road;Operator;OpID;Email;Price1;Price2;Price3;Price4
38.20262;23.85396;Σταθμός Διοδίων Καπανδριτίου Πλευρικά (Από Θεσσαλονίκη);Αττικής-Καπανδρίτι;Α/Δ Αθηνών-Θεσσαλονίκης;neaodos;NO;info@neaodos.gr;1.50;2.15;5.40;7.60
38.20275;23.85477;Σταθμός Διοδίων Καπανδριτίου Πλευρικά (Προς Θεσσαλονίκη);Αττικής-Καπανδρίτι;Α/Δ Αθηνών-Θεσσαλονίκης;neaodos;NO;info@neaodos.gr;1.50;2.15;5.40;7.60
37.93851;23.88683;Σταθμός Διοδίων Κορωπίου Μετωπικά (Προς Ελευσίνα);Αττικής-Κορωπί;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
38.23753;23.78053;Σταθμός Διοδίων Μαλακάσας Πλευρικά (Από Θεσσαλονίκη);Αττικής-Μαλακάσα;Α/Δ Αθηνών-Θεσσαλονίκης;neaodos;NO;info@neaodos.gr;1.05;1.55;3.85;5.40
38.23633;23.78600;Σταθμός Διοδίων Μαλακάσας Πλευρικά (Προς Θεσσαλονίκη);Αττικής-Μαλακάσα;Α/Δ Αθηνών-Θεσσαλονίκης;neaodos;NO;info@neaodos.gr;1.05;1.55;3.85;5.40
38.04123;23.80530;Σταθμός Διοδίων Λεωφ. Κηφισίας Πλευρικά (Προς Αεροδρόμιο);Αττικής-Μαρούσι;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
38.04366;23.79931;Σταθμός Διοδίων Λεωφ. Κηφισίας Πλευρικά (Προς Ελευσίνα);Αττικής-Μαρούσι;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
38.06086;23.75050;Σταθμός Διοδίων Αθηνών-Λαμίας Πλευρικά (Από Αθήνα Προς Αεροδρόμιο);Αττικής-Μεταμόρφωση;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
38.06285;23.74866;Σταθμός Διοδίων Αθηνών-Λαμίας Πλευρικά (Από Αθήνα Προς Ελευσίνα);Αττικής-Μεταμόρφωση;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
38.06120;23.75044;Σταθμός Διοδίων Αθηνών-Λαμίας Πλευρικά (Από Λαμία Προς Αεροδρόμιο);Αττικής-Μεταμόρφωση;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
38.06315;23.74873;Σταθμός Διοδίων Αθηνών-Λαμίας Πλευρικά (Από Λαμία Προς Ελευσίνα);Αττικής-Μεταμόρφωση;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
38.01988;23.42843;Σταθμός Διοδίων Νέας Περάμου Πλευρικά (Από Πάτρα);Αττικής-Νέα Πέραμος;Α/Δ Αθηνών-Κορίνθου;olympiaodos;OO;customercare@olympiaoperation.gr;1.10;1.50;3.90;5.50
38.01970;23.42683;Σταθμός Διοδίων Νέας Περάμου Πλευρικά (Προς Πάτρα);Αττικής-Νέα Πέραμος;Α/Δ Αθηνών-Κορίνθου;olympiaodos;OO;customercare@olympiaoperation.gr;1.10;1.50;3.90;5.50
37.95341;23.88573;Σταθμός Διοδίων Παιανίας Πλευρικά (Προς Αεροδρόμιο);Αττικής-Παιανία;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
37.95731;23.88672;Σταθμός Διοδίων Παιανίας Πλευρικά (Προς Ελευσίνα);Αττικής-Παιανία;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
38.00431;23.86971;Σταθμός Διοδίων Λεωφ. Μαραθώνος Πλευρικά (Προς Αεροδρόμιο);Αττικής-Παλλήνη;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
38.00805;23.86918;Σταθμός Διοδίων Λεωφ. Μαραθώνος Πλευρικά (Προς Ελευσίνα);Αττικής-Παλλήνη;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
37.99397;23.88736;Σταθμός Διοδίων Παλλήνης Πλευρικά (Προς Καρέα);Αττικής-Παλλήνη;Περιφ. Υμηττού;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
37.97720;23.80010;Σταθμός Διοδίων Κατεχάκη Μετωπικά (Προς Παλλήνη);Αττικής-Παπάγος;Περιφ. Υμηττού;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
37.98565;23.80999;Σταθμός Διοδίων Παπάγου Πλευρικά (Προς Καρέα);Αττικής-Παπάγος;Περιφ. Υμηττού;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
37.98559;23.81250;Σταθμός Διοδίων Παπάγου Πλευρικά (Προς Παλλήνη);Αττικής-Παπάγος;Περιφ. Υμηττού;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
37.98501;23.34987;Σταθμός Διοδίων Πάχης Πλευρικά (Από Πάτρα);Αττικής-Πάχη;Α/Δ Αθηνών-Κορίνθου;olympiaodos;OO;customercare@olympiaoperation.gr;0.70;1.00;2.50;3.50
37.98590;23.34910;Σταθμός Διοδίων Πάχης Πλευρικά (Προς Πάτρα);Αττικής-Πάχη;Α/Δ Αθηνών-Κορίνθου;olympiaodos;OO;customercare@olympiaoperation.gr;0.70;1.00;2.50;3.50
38.09389;23.59099;Σταθμός Διοδίων Ρουπακίου Μετωπικά (Προς Αεροδρόμιο);Αττικής-Ρουπάκι;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
37.98003;23.86990;Σταθμός Διοδίων Κάντζας Πλευρικά (Προς Αεροδρόμιο);Αττικής-Σπάτα-Κάντζα;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
37.98229;23.87047;Σταθμός Διοδίων Κάντζας Πλευρικά (Προς Ελευσίνα);Αττικής-Σπάτα-Κάντζα;Αττική Οδός;naodos;NAO;customercare@attikesdiadromes.gr;1.25;2.50;6.25;10.00
38.31624;21.83038;Σταθμός Διοδίων Ρίου Μετωπικά (Προς Αθήνα);Αχαΐας-Άγιος Βασίλειος;Α/Δ Κορίνθου-Πατρών;olympiaodos;OO;customercare@olympiaoperation.gr;1.70;2.40;6.20;8.70
38.31663;21.82995;Σταθμός Διοδίων Ρίου Μετωπικά (Προς Πάτρα);Αχαΐας-Άγιος Βασίλειος;Α/Δ Κορίνθου-Πατρών;olympiaodos;OO;customercare@olympiaoperation.gr;1.70;2.40;6.20;8.70
38.32496;21.85800;Σταθμός Διοδίων Δρεπάνου Πλευρικά (Από Αθήνα);Αχαΐας-Δρέπανο;Α/Δ Κορίνθου-Πατρών;olympiaodos;OO;customercare@olympiaoperation.gr;1.30;1.80;4.70;6.60
38.32513;21.85815;Σταθμός Διοδίων Δρεπάνου Πλευρικά (Προς Αθήνα);Αχαΐας-Δρέπανο;Α/Δ Κορίνθου-Πατρών;olympiaodos;OO;customercare@olympiaoperation.gr;1.30;1.80;4.70;6.60
38.19048;22.16526;Σταθμός Διοδίων Ελαιώνα Μετωπικά (Προς Αθήνα);Αχαΐας-Ελαιώνας;Α/Δ Κορίνθου-Πατρών;olympiaodos;OO;customercare@olympiaoperation.gr;2.40;3.50;8.90;12.40
38.19092;22.16560;Σταθμός Διοδίων Ελαιώνα Μετωπικά (Προς Πάτρα);Αχαΐας-Ελαιώνας;Α/Δ Κορίνθου-Πατρών;olympiaodos;OO;customercare@olympiaoperation.gr;2.40;3.50;8.90;12.40
38.15655;22.34285;Σταθμός Διοδίων Ακράτας Πλευρικά (Από Αθήνα);Αχαΐας-Κράθιο;Α/Δ Κορίνθου-Πατρών;olympiaodos;OO;customercare@olympiaoperation.gr;1.30;1.90;4.70;6.70
38.15715;22.34236;Σταθμός Διοδίων Ακράτας Πλευρικά (Προς Αθήνα);Αχαΐας-Κράθιο;Α/Δ Κορίνθου-Πατρών;olympiaodos;OO;customercare@olympiaoperation.gr;1.30;1.90;4.70;6.70
38.17475;22.23938;Σταθμός Διοδίων Καλαβρύτων Πλευρικά (Από Αθήνα);Αχαΐας-Τράπεζα;Α/Δ Κορίνθου-Πατρών;olympiaodos;OO;customercare@olympiaoperation.gr;1.80;2.60;6.50;9.10
38.17461;22.23961;Σταθμός Διοδίων Καλαβρύτων Πλευρικά (Προς Αθήνα);Αχαΐας-Τράπεζα;Α/Δ Κορίνθου-Πατρών;olympiaodos;OO;customercare@olympiaoperation.gr;1.80;2.60;6.50;9.10
38.37082;23.28677;Σταθμός Διοδίων Θήβας Μετωπικά (Προς Αθήνα);Βοιωτίας-Θήβα;Α/Δ Αθηνών-Θεσσαλονίκης;neaodos;NO;info@neaodos.gr;2.90;4.20;10.50;14.70
38.37090;23.28704;Σταθμός Διοδίων Θήβας Μετωπικά (Προς Θεσσαλονίκη);Βοιωτίας-Θήβα;Α/Δ Αθηνών-Θεσσαλονίκης;neaodos;NO;info@neaodos.gr;2.90;4.20;10.50;14.70
38.36621;23.32467;Σταθμός Διοδίων Θήβας Πλευρικά (Από Θεσσαλονίκη);Βοιωτίας-Θήβα;Α/Δ Αθηνών-Θεσσαλονίκης;neaodos;NO;info@neaodos.gr;1.15;1.65;4.15;5.80
38.36403;23.32208;Σταθμός Διοδίων Θήβας Πλευρικά (Προς Θεσσαλονίκη);Βοιωτίας-Θήβα;Α/Δ Αθηνών-Θεσσαλονίκης;neaodos;NO;info@neaodos.gr;1.15;1.65;4.15;5.80
38.28925;23.67591;Σταθμός Διοδίων Οινοφύτων Πλευρικά (Από Θεσσαλονίκη);Βοιωτίας-Οινόφυτα;Α/Δ Αθηνών-Θεσσαλονίκης;neaodos;NO;info@neaodos.gr;0.50;0.70;1.80;2.55
38.29219;23.67477;Σταθμός Διοδίων Οινοφύτων Πλευρικά (Προς Θεσσαλονίκη);Βοιωτίας-Οινόφυτα;Α/Δ Αθηνών-Θεσσαλονίκης;neaodos;NO;info@neaodos.gr;0.50;0.70;1.80;2.55
40.94466;26.20525;Σταθμός Διοδίων Αρδανίου Μετωπικά (Προς Ηγουμενίτσα);Έβρου-Αρδάνι;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;0.80;1.20;3.00;4.20
40.94448;26.20509;Σταθμός Διοδίων Αρδανίου Μετωπικά (Προς Κήπους);Έβρου-Αρδάνι;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;0.80;1.20;3.00;4.20
41.01349;25.53327;Σταθμός Διοδίων Μεστής Μετωπικά (Προς Αλεξ/πολη);Έβρου-Μεστή;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;1.20;1.70;4.30;6.00
41.01347;25.53349;Σταθμός Διοδίων Μεστής Μετωπικά (Προς Ηγουμενίτσα);Έβρου-Μεστή;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;1.20;1.70;4.30;6.00
40.96176;25.64339;Σταθμός Διοδίων Μεστής Πλευρικά (Από Αλεξ/πολη);Έβρου-Μεστή;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;0.60;0.80;2.00;2.80
40.96122;25.64278;Σταθμός Διοδίων Μεστής Πλευρικά (Προς Αλεξ/πολη);Έβρου-Μεστή;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;0.60;0.80;2.00;2.80
40.51974;22.57247;Σταθμός Διοδίων Κλειδίου Μετωπικά (Προς Αθήνα);Ημαθίας-Κλειδί;Α/Δ Αθηνών-Θεσσαλονίκης;aegeanmotorway;AM;customercare@aegeanmotorway.gr;1.40;2.00;5.90;8.30
40.51943;22.57290;Σταθμός Διοδίων Κλειδίου Μετωπικά (Προς Θεσσαλονίκη);Ημαθίας-Κλειδί;Α/Δ Αθηνών-Θεσσαλονίκης;aegeanmotorway;AM;customercare@aegeanmotorway.gr;1.40;2.00;5.90;8.30
40.70685;23.19131;Σταθμός Διοδίων Ανάληψης Μετωπικά (Προς Αλεξ/πολη);Θεσσαλονίκης-Ανάληψη;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;1.30;1.80;4.50;6.30
40.70687;23.19166;Σταθμός Διοδίων Ανάληψης Μετωπικά (Προς Ηγουμενίτσα);Θεσσαλονίκης-Ανάληψη;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;1.30;1.80;4.50;6.30
40.72626;23.69369;Σταθμός Διοδίων Ασπροβάλτας Μετωπικά (Προς Αλεξανδρούπολη);Θεσσαλονίκης-Ασπροβάλτα;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;0.60;0.90;2.30;3.20
40.72651;23.69370;Σταθμός Διοδίων Ασπροβάλτας Μετωπικά (Προς Ηγουμενίτσα);Θεσσαλονίκης-Ασπροβάλτα;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;0.60;0.90;2.30;3.20
40.70133;23.37106;Σταθμός Διοδίων Βαϊοχωρίου Πλευρικά (Από Αλεξ/πολη);Θεσσαλονίκης-Βαϊοχώρι;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;0.40;0.60;1.50;2.10
40.70003;23.37042;Σταθμός Διοδίων Βαϊοχωρίου Πλευρικά (Προς Αλεξ/πολη);Θεσσαλονίκης-Βαϊοχώρι;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;0.40;0.60;1.50;2.10
40.69605;22.89561;Σταθμός Διοδίων Θεσσαλονίκης Μετωπικά (Προς Αλεξανδρούπολη);Θεσσαλονίκης-Θεσσαλονίκη;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;0.30;0.50;1.00;1.50
40.69621;22.89602;Σταθμός Διοδίων Θεσσαλονίκης Μετωπικά (Προς Ηγουμενίτσα);Θεσσαλονίκης-Θεσσαλονίκη;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;0.30;0.50;1.00;1.50
40.74036;23.01134;Σταθμός Διοδίων Λαγκαδά Πλευρικά (Είσοδος Προς Ηγουμενίτσα);Θεσσαλονίκης-Λαγυνά;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;0.20;0.30;0.80;1.10
40.74041;23.00921;Σταθμός Διοδίων Λαγκαδά Πλευρικά (Είσοδος Προς Ηγουμενίτσα);Θεσσαλονίκης-Λαγυνά;Εγνατία Οδός;egnatia;EG;eoae@egnatia.gr;0.20;0.30;0.80;1.10
